Компания,Сайт,Email,Статус почты,Имя ЛПР,Должность,Источник имени,ИНН,Сигнал (вакансия),Ссылка на вакансию,Страница на hh,Заголовок сайта,Примечание
ООО Инструмент,https://b2b.instrumentgroup.ru/,b2b@instrumentgroup.ru,valid,,,,,"Менеджер по продажам (b2b, производственная компания, металлообработка)",https://saratov.hh.ru/vacancy/135435058,https://hh.ru/employer/956977,"ГК Инструмент - производство и продажа промышленного инструмента и техоснастки, оригинальные товары с гарантией",в реестре 16 похожих компаний — имя не подставляю; ок
ООО ЕМГ,https://emg.com.ru/,orders@emg.com.ru,valid,,,,,Менеджер по продажам (станки),https://saratov.hh.ru/vacancy/135243950,https://hh.ru/employer/1618188,"Станки с ЧПУ, сервис, ремонт и обучение | ЕМГ",в реестре 7 похожих компаний — имя не подставляю; ок
ООО Авиатехснаб,https://aviats.com/en/,heli@aviats.com,valid,,,,,Менеджер продаж (направление зарубежной авиационной техники),https://saratov.hh.ru/vacancy/123058148,https://hh.ru/employer/1025478,Aviatechsupply | Main page,в реестре 20 похожих компаний — имя не подставляю; ок
ГКУ МО Центр Занятости населения Московской Области,https://czn.mosreg.ru/main,msr_cznmo@mosreg.ru,valid,,,,,Менеджер по продажам,https://saratov.hh.ru/vacancy/135149875,https://hh.ru/employer/9379587,"Государственное казенное учреждение Московской области ""Центр занятости населения Московской области"" :: czn.mosreg.ru",ок
Липецкое станкостроительное предприятие,https://lssp.ru/,promo@lssp.ru,valid,,,,,Специалист по работе с клиентами,https://saratov.hh.ru/vacancy/130219658,https://hh.ru/employer/871761,Липецкое станкостроительное предприятие — лидер по производству плоскошлифовального оборудования в России,в реестре 7 похожих компаний — имя не подставляю; ок
ООО Роса,https://rosavl.com/,rop@rosavl.com,valid,,,,,Менеджер по продажам строительного оборудования,https://saratov.hh.ru/vacancy/135254202,https://hh.ru/employer/5858834,РОСА – Комплексное снабжение строительных объектов и производственных предприятий во Владивостоке. Широкий выбор строительного оборудования и материалов.,в реестре 17 похожих компаний — имя не подставляю; ок
ООО Пенетрон-Москва,https://penetron-moscow.ru/,info@penetron-moscow.ru,risky,Неверов Константин Сергеевич,генеральный директор,ЕГРЮЛ,7729627297,Менеджер по продажам,https://saratov.hh.ru/vacancy/134903778,https://hh.ru/employer/4220674,Материалы для гидроизоляции и ремонта бетона в Москве | Пенетрон-Москва,ролевой адрес — читает не ЛПР
ООО Термекс Энерджи,https://thermexenergy.ru/,info@thermexenergy.ru,risky,Мордовин Михаил Николаевич,директор,ЕГРЮЛ,7810252827,Менеджер по проектным продажам промышленного холодильного оборудования (B2B),https://saratov.hh.ru/vacancy/135443349,https://hh.ru/employer/4581865,Thermex Energy - российский производитель энергоэффективного промышленного холодильного и климатического оборудования,ролевой адрес — читает не ЛПР
КПД-ТЕХНО,https://kpd-techno.ru/,info@kpd-techno.ru,risky,Дионисов Владимир Михайлович,генеральный директор,ЕГРЮЛ,7714336023,Региональный менеджер по продажам оборудования,https://saratov.hh.ru/vacancy/135131038,https://hh.ru/employer/2015616,КПД-Техно - надежный поставщик станков и промышленного оборудования,ролевой адрес — читает не ЛПР
ООО Металл Стор,https://metalstore24.ru/,info@metalstore24.ru,risky,Ерофеев Артем Николаевич,генеральный директор,ЕГРЮЛ,2130120824,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/135480922,https://hh.ru/employer/9857511,Металлобаза в Москве Metalstore24 - купить металлопрокат Москва,ролевой адрес — читает не ЛПР
ООО ХОПЁР СТАЛЬ,https://khoper.ru/,zakaz@khoper.ru,risky,Гулакян Нарек Кароевич,директор,ЕГРЮЛ,9723221390,Менеджер по продажам (Начинающий специалист),https://saratov.hh.ru/vacancy/135539976,https://hh.ru/employer/10807321,Купить металлопрокат оптом  в Москве | Хопер Сталь,ролевой адрес — читает не ЛПР
Staff-UP Consulting Group,https://staff-up.ru/,sales@staff-up.ru,risky,Олег Лисин Генеральный,директор по развитию,сайт компании,,Менеджер по продажам (металлопрокат),https://saratov.hh.ru/vacancy/135540735,https://hh.ru/employer/1685100,Кадровое агентство в Москве - подбор персонала Staff-UP,ролевой адрес — читает не ЛПР
ООО ТРУБА НА СКЛАДЕ.РУ,https://trubanasklade.ru/,zakaz@trubanasklade.ru,risky,Харламов Денис Александрович,директор,ЕГРЮЛ,7453318531,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/135477299,https://hh.ru/employer/12923546,Стальные трубы и детали трубопровода — купить с доставкой по РФ и СНГ,ролевой адрес — читает не ЛПР
ООО Добро-Сталь,https://dobro-steel-dv.ru/,info@dobro-steel-dv.ru,risky,Бородкин Семён Александрович,генеральный директор,ЕГРЮЛ,2724251309,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/132821736,https://hh.ru/employer/9331930,Оптовый поставщик металлопродукции в Хабаровске | Добро-Сталь,ролевой адрес — читает не ЛПР
ООО Группа Компаний Демидов,https://demidovsteel.ru/,zakaz@demidovsteel.ru,risky,Вячеслав Степченков,коммерческий директор,сайт компании,,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/135212895,https://hh.ru/employer/906690,Продажа металлопроката оптом и в розницу в г. Москва от производителя «ГК Демидов»,ролевой адрес — читает не ЛПР
Имаклик,https://imaqliq.ru/,sales@imaqliq.ru,risky,Баженов Дмитрий Иванович,генеральный директор,ЕГРЮЛ,7826077828,Менеджер по продажам телеком оборудования,https://saratov.hh.ru/vacancy/135470942,https://hh.ru/employer/678261,Компания «Имаклик Сервис»,ролевой адрес — читает не ЛПР
ООО МЕЖМЕТКОМ,https://mmk24.ru/,info@mmk24.ru,risky,Барышев Евгений Александрович,генеральный директор,сайт компании,,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/128904271,https://hh.ru/employer/3488281,ММК24 - металлопрокат оптом,ролевой адрес — читает не ЛПР
РЭД ВЭЙ,https://red-way.ru/,info@red-way.ru,risky,Емцов Иван Александрович,генеральный директор,ЕГРЮЛ,7743480984,Менеджер по продажам,https://saratov.hh.ru/vacancy/135421788,https://hh.ru/employer/12921489,Комплексное снабжение предприятий | RED WAY,ролевой адрес — читает не ЛПР
ООО Металл регион,https://metall-region.ru/,info@metall-region.ru,risky,Савченкова Любовь Вячеславовна,руководитель отдела продаж,сайт компании,,Ведущий менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/135395681,https://hh.ru/employer/5145419,"Купить металлическую трубу бу в Москве недорого. Труба бу в Москве от компании ""Металл Регион""",ролевой адрес — читает не ЛПР
ООО МЕТЭК Краснодар,https://метэк.рф/,info@meteksaratov.ru,risky,Авдеев Максим Константинович,генеральный директор,ЕГРЮЛ,2312250948,Менеджер по продажам металлопроката и услуг резки,https://saratov.hh.ru/vacancy/134862100,https://hh.ru/employer/2614217,Главная,адрес не на домене сайта; ролевой адрес — читает не ЛПР
ООО НПП Химметпродукт,https://himmetproduct.ru/,info@himmetproduct.ru,risky,Журавлева Ольга Игоревна,директор,ЕГРЮЛ,6658508002,Менеджер по продажам,https://saratov.hh.ru/vacancy/134697018,https://hh.ru/employer/3330437,ХИММЕТПРОДУКТ,ролевой адрес — читает не ЛПР
ООО МК Буран,https://buranmetall.ru/,sales@buranmetall.ru,risky,Уткин Степан Дмитриевич,директор,ЕГРЮЛ,6671280452,Менеджер по продажам,https://saratov.hh.ru/vacancy/135409655,https://hh.ru/employer/10474598,Металлургическая компания Буран - официальный сайт компании в Екатеринбурге,ролевой адрес — читает не ЛПР
ООО Группа металлургических компаний Металлтрубпром,http://mtpgroup.ru/,info@mtpgroup.ru,risky,Клементьев Константин Алексеевич,директор,ЕГРЮЛ,6625058830,Менеджер по продажам металлоконструкций и трубной продукции,https://saratov.hh.ru/vacancy/135467584,https://hh.ru/employer/2644065,ООО ГМК МеталлТрубПром. Оптовая и рзничная торговля металлопрокатом. Производство и монтаж металлоконструкций.,ролевой адрес — читает не ЛПР
ВИН-СТАЛЬ,https://win-steel.ru/,info@win-steel.ru,risky,Воробьева Наталья Андреевна,директор,ЕГРЮЛ,6658536296,Менеджер по продажам,https://saratov.hh.ru/vacancy/134142784,https://hh.ru/employer/12287646,Металлопрокат в Екатеринбурге — поставки для стройки и производства,ролевой адрес — читает не ЛПР
ООО Южный завод тяжелого станкостроения,https://uzts-sedin.com/,info@uzts-sedin.com,risky,Батанов Вадим Александрович,генеральный директор,ЕГРЮЛ,2308228724,Менеджер по продажам металлорежущих станков,https://saratov.hh.ru/vacancy/135535476,https://hh.ru/employer/3739489,Южный завод тяжелого станкостроения,ролевой адрес — читает не ЛПР
ООО Битван,https://bitvan.ru/,info@bitvan.ru,risky,Бухарин Данила Алексеевич,генеральный директор,ЕГРЮЛ,7451298738,Региональный менеджер по продажам промышленного оборудования,https://saratov.hh.ru/vacancy/135231137,https://hh.ru/employer/3204125,Станки с ЧПУ - купить CNC-оборудование с доставкой по РФ | Битван,ролевой адрес — читает не ЛПР
ООО Станкопром,https://lasercut.ru/,info@lasercut.ru,risky,Предприниматель Максим Мощук,основатель,сайт компании,,Менеджер по продажам,https://saratov.hh.ru/vacancy/134973844,https://hh.ru/employer/1827297,ЛАЗЕРНЫЙ СТАНОК С ЧПУ — купить лазерный станок с ЧПУ | LASERCUT,ролевой адрес — читает не ЛПР
ООО ЛитПромГарант-НН,https://lpgnn.ru/,zakaz@lpgnn.ru,risky,Колпакова Наталия Михайловна,директор,ЕГРЮЛ,5256118032,Менеджер по продажам,https://saratov.hh.ru/vacancy/132061972,https://hh.ru/employer/1659780,ЛитПромГарант,ролевой адрес — читает не ЛПР
ООО ИПК Гелар,https://ipkgelar-m.ru/,sales@ipkgelar-m.ru,risky,Сергей Краснянский Ведущий,технический директор,сайт компании,,Менеджер по продажам/менеджер проектов,https://saratov.hh.ru/vacancy/132853106,https://hh.ru/employer/2744604,ИПК Гелар,ролевой адрес — читает не ЛПР
ООО Паркс-Инжиниринг,https://parxeng.com/,info@parxeng.com,risky,Кондратов Владислав Дмитриевич,генеральный директор,ЕГРЮЛ,7801660386,Менеджер по маркетингу (интернет-маркетолог),https://saratov.hh.ru/vacancy/134787901,https://hh.ru/employer/4068024,Паркс-инжиниринг | Главная,ролевой адрес — читает не ЛПР
ООО ТМ Механика,https://tmmeh.ru/,zakaz@tmmeh.ru,risky,Дергунов Алексей Васильевич,генеральный директор,ЕГРЮЛ,7710926744,Менеджер по работе с ключевыми клиентами,https://saratov.hh.ru/vacancy/135386879,https://hh.ru/employer/1424307,ТМ Механика,ролевой адрес — читает не ЛПР
ООО Ишимбайская станкостроительная группа,https://ufastanki.ru/,info@ufastanki.ru,risky,Нагаев Эрнест Хазигалиевич,генеральный директор,ЕГРЮЛ,0261046218,Менеджер в отдел сбыта (Черниковка),https://saratov.hh.ru/vacancy/134788639,https://hh.ru/employer/811456,Ишимбайские станки,ролевой адрес — читает не ЛПР
Hr-formula,https://hr-formula.ru/,sales@hr-formula.ru,risky,Тетюев Сергей,генеральный директор,сайт компании,,"Менеджер по продажам высокотехнологичного оборудования (B2B, проектные продажи)",https://saratov.hh.ru/vacancy/134783799,https://hh.ru/employer/10173796,Закроем любую вакансию за 30 дней с гарантией до 6 месяцев,ролевой адрес — читает не ЛПР
ООО АксесГидро,https://accesshydro.ru/,info@accesshydro.ru,risky,Куликов Илья Львович,генеральный директор,ЕГРЮЛ,7719468880,Менеджер по продажам B2B,https://saratov.hh.ru/vacancy/134882429,https://hh.ru/employer/2861189,AccessHydro - Компоненты гидравлических систем,ролевой адрес — читает не ЛПР
ИП Еремченков Владимир Владимирович,https://reduktor40.ru/,zakaz@reduktor40.ru,risky,Еремченков Владимир Владимирович,генеральный директор,сайт компании,,Руководитель отдела продаж B2B (Механизмы и агрегаты),https://saratov.hh.ru/vacancy/134803011,https://hh.ru/employer/4023702,Запчасти для спецтехники в РФ | Купить запчасти на спецтехнику - СпецЗапчасть,ролевой адрес — читает не ЛПР
ООО Сайнтифик,https://sntf.ru/,info@sntf.ru,risky,,,,,Менеджер проектных продаж (переработка и испытания полимеров),https://saratov.hh.ru/vacancy/135052322,https://hh.ru/employer/2958497,Сайнтифик | Оснащение полимерных производств и лабораторий,в реестре 3 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
CARDINAL&MARGO,https://cardinal-hats.ru/,sales@cardinal-hats.ru,risky,,,,,Менеджер по продажам,https://saratov.hh.ru/vacancy/135412179,https://hh.ru/employer/12010059,Фабрика шляп Cardinal&Margo - официальный сайт. Стильные женские и мужские головные уборы оптом и в розницу,ролевой адрес — читает не ЛПР
АО Компонент,https://component.ru/,info@component.ru,risky,,,,,Менеджер по продажам,https://saratov.hh.ru/vacancy/135115100,https://hh.ru/employer/1057940,Телекомуникационное оборудование от производителя с доставкой по России – АО Компонент,в реестре 8 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Технопромвент,https://tpvent.ru/,info@tpvent.ru,risky,,,,,Менеджер по продажам оборудования,https://saratov.hh.ru/vacancy/134735755,https://hh.ru/employer/11244642,Главная,в реестре 4 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
АО Промхимгрупп,https://promhimgroup.ru/,info@promhimgroup.ru,risky,,,,,Менеджер по проектным продажам промышленного оборудования (нефтегаз),https://saratov.hh.ru/vacancy/132629461,https://hh.ru/employer/12033991,"ПромХимГрупп — оборудование для нефтегазовой отрасли и экологии РФ, СНГ",в реестре 10 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО ДАЛКОС,https://dalkos.ru/,sales@dalkos.ru,risky,,,,,Ведущий менеджер по продажам промышленного оборудования,https://saratov.hh.ru/vacancy/134763188,https://hh.ru/employer/651612,ДАЛКОС | Купить промышленное импортное оборудование на заказ,в реестре 3 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Нижегородская Промышленная Компания,https://npk-nnov.ru/,info@npk-nnov.ru,risky,,,,,Менеджер по продаже (промышленная сфера),https://saratov.hh.ru/vacancy/135545423,https://hh.ru/employer/190977,НПК,в реестре 11 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
Группа компаний ПНЕВМОТЕХ,https://kompr.ru/,zakaz@kompr.ru,risky,,,,,Менеджер по продажам (дизель-генераторное оборудование),https://saratov.hh.ru/vacancy/134949166,https://hh.ru/employer/2593879,Официальный сайт компании ПНЕВМОТЕХ.,ролевой адрес — читает не ЛПР
ООО Вектор-Баттери,https://vektor-plus.pro/,info@vektor-plus.pro,risky,,,,,Менеджер по продажам электротехнического оборудования,https://saratov.hh.ru/vacancy/133858337,https://hh.ru/employer/4841246,"VEKTOR PLUS — поставщик комплексных решений для обеспечения электроснабжения, а также накопления и хранения электроэнергии",ролевой адрес — читает не ЛПР
ООО Капитал Металл,https://capmetal.ru/,sales@capmetal.ru,risky,,,,,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/134766790,https://hh.ru/employer/5218538,"Капитал Металл — Оптовый поставщик, производство, доставка по России",в реестре 2 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО БВБ-Альянс,https://bvb-alyans.ru/,info@bvb-alyans.ru,risky,,,,,Менеджер по оптовым продажам,https://saratov.hh.ru/vacancy/128729961,https://hh.ru/employer/1877035,БВБ-Альянс - крупный металлотрейдер и универсальный поставщик в Москве,в реестре 5 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Евразийская металлургическая компания,https://www.eamtk.ru/,zakaz@eamtk.ru,risky,,,,,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/89622851,https://hh.ru/employer/3206279,Евразийская Металлургическая Компания — металлопрокат от производителя с доставкой по России,в реестре 4 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Металлпартнер,https://metalrostov.ru/,metallpartneranastasia@yandex.ru,risky,,,,,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/135014225,https://hh.ru/employer/12881295,Металлпартнер — металлопрокат в Ростове-на-Дону,"адрес не на домене сайта; в реестре 8 похожих компаний — имя не подставляю; бесплатный почтовый ящик, не корпоративный домен"
Металлгорсталь,https://metalgorstal.ru/,info@metalgorstal.ru,risky,,,,,Ассистент менеджера по продажам,https://saratov.hh.ru/vacancy/134760556,https://hh.ru/employer/4721923,"Металлобаза в Москве: цены, купить металлопрокат оптом, в розницу",в реестре 2 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Континенталь,https://kontinental.ru/,info@kontinental.ru,risky,,,,,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/135153556,https://hh.ru/employer/57489,Нержавеющая сталь (нержавейка) купить в Екатеринбурге | Интернет магазин Континенталь,в реестре 19 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО ТМК ЮГ,https://tmk-ug.ru/,tmk-ug@yandex.ru,risky,,,,,Менеджер по оптовым продажам металлопроката,https://saratov.hh.ru/vacancy/134905034,https://hh.ru/employer/2786070,ТМК-ЮГ,"адрес не на домене сайта; в реестре 4 похожих компаний — имя не подставляю; бесплатный почтовый ящик, не корпоративный домен"
ООО Первая Металлургическая Корпорация,https://pmkor.ru/,info@pmkor.ru,risky,,,,,Менеджер по продажам (металлопрокат),https://saratov.hh.ru/vacancy/135417761,https://hh.ru/employer/1547118,Купить металл оптом в Краснодаре | Первая металлургическая корпорация,в реестре 5 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО ВСМ,https://vsm-metall.ru/,info@vsm-metall.ru,risky,,,,,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/134870929,https://hh.ru/employer/12232359,ВСМ Металл - металлургическая компания,в реестре 20 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО ГК Опора,https://opora55.ru/,info@opora55.ru,risky,,,,,Менеджер по продажам,https://saratov.hh.ru/vacancy/135456858,https://hh.ru/employer/12025582,Подвижные и неподвижные опоры трубопроводов от ГК ОПОРА,в реестре 3 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Моссталь,https://mossteel.com/,info@mossteel.com,risky,,,,,Ведущий менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/134718130,https://hh.ru/employer/4648240,МОССТАЛЬ - продажа металлопроката в Москве оптом,в реестре 7 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Инокспоинт Групп,https://www.inoxpoint.ru/,info@inoxpoint.ru,risky,,,,,Менеджер по продажам,https://saratov.hh.ru/vacancy/135112965,https://hh.ru/employer/670078,Алюминиевый и нержавеющий металлопрокат — официальный сайт Inoxpoint,в реестре 2 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО ТД УралМетСтрой,https://umschel.ru/,zakaz.ums@yandex.ru,risky,,,,,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/134776930,https://hh.ru/employer/4265624,УралМетСтрой — Комплексная поставка труб,"адрес не на домене сайта; в реестре 19 похожих компаний — имя не подставляю; бесплатный почтовый ящик, не корпоративный домен; ролевой адрес — читает не ЛПР"
ООО Эльба,https://elba-msk.ru/,info@elba-msk.ru,risky,,,,,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/135358238,https://hh.ru/employer/4596203,"Купить металлопрокат — прайс-лист, опт | Металлопрокат, доставка. Металлообработка. Купить металл от надежного поставщика ""ЭЛЬБА"" недорого",в реестре 19 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Торговый Дом Металл-М,https://metall-m.pro/,info@oootdmm.ru,risky,,,,,Менеджер по продажам,https://saratov.hh.ru/vacancy/135441264,https://hh.ru/employer/5172373,Главная,адрес не на домене сайта; в реестре 8 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Союзпромснаб,https://s-promsnab.ru/,souzsnab116@yandex.ru,risky,,,,,Менеджер по продажам металлопроката (B2B),https://saratov.hh.ru/vacancy/135402929,https://hh.ru/employer/4727095,"Комплексные поставки металлопроката | ООО ""СоюзПромСнаБ""","адрес не на домене сайта; в реестре 18 похожих компаний — имя не подставляю; бесплатный почтовый ящик, не корпоративный домен"
