#,Компания,Email,Сайт,Статус,Найденные проблемы,Сходство имя/домен,Как сайт называет себя,Предлагаемый сайт,Уверенность,Обоснование
24,ООО Инструмент,b2b@instrumentgroup.ru,https://b2b.instrumentgroup.ru/,требует проверки,домен почты (instrumentgroup.ru) не совпадает с сайтом (b2b.instrumentgroup.ru); название не бьётся с доменом (сходство 0),0,,,средняя,
25,ООО ЕМГ,orders@emg.com.ru,https://emg.com.ru/,ok,,100,,,высокая,
26,ООО Авиатехснаб,heli@aviats.com,https://aviats.com/en/,ok,,71,,,высокая,
27,ГКУ МО Центр Занятости населения Московской Области,msr_cznmo@mosreg.ru,https://czn.mosreg.ru/main,требует проверки,домен почты (mosreg.ru) не совпадает с сайтом (czn.mosreg.ru); название не бьётся с доменом (сходство 12),12,,,средняя,
28,Липецкое станкостроительное предприятие,promo@lssp.ru,https://lssp.ru/,требует проверки,название не бьётся с доменом (сходство 20),20,,,средняя,
29,ООО Роса,rop@rosavl.com,https://rosavl.com/,ok,,80,,,высокая,
30,ООО Пенетрон-Москва,info@penetron-moscow.ru,https://penetron-moscow.ru/,ok,,86,,,высокая,
31,ООО Термекс Энерджи,info@thermexenergy.ru,https://thermexenergy.ru/,ok,,71,,,высокая,
32,КПД-ТЕХНО,info@kpd-techno.ru,https://kpd-techno.ru/,ok,,100,,,высокая,
33,ООО Металл Стор,info@metalstore24.ru,https://metalstore24.ru/,ok,,82,,,высокая,
34,ООО ХОПЁР СТАЛЬ,zakaz@khoper.ru,https://khoper.ru/,ok,,100,,,высокая,
35,Staff-UP Consulting Group,sales@staff-up.ru,https://staff-up.ru/,ok,,71,,,высокая,
36,ООО ТРУБА НА СКЛАДЕ.РУ,zakaz@trubanasklade.ru,https://trubanasklade.ru/,ok,,93,,,высокая,
37,ООО Добро-Сталь,info@dobro-steel-dv.ru,https://dobro-steel-dv.ru/,ok,,76,,,высокая,
38,ООО Группа Компаний Демидов,zakaz@demidovsteel.ru,https://demidovsteel.ru/,требует проверки,название не бьётся с доменом (сходство 58),58,,,средняя,
39,Имаклик,sales@imaqliq.ru,https://imaqliq.ru/,ok,,71,,,высокая,
40,ООО МЕЖМЕТКОМ,info@mmk24.ru,https://mmk24.ru/,требует проверки,название не бьётся с доменом (сходство 40),40,,,средняя,
41,РЭД ВЭЙ,info@red-way.ru,https://red-way.ru/,ok,,67,,,высокая,
42,ООО Металл регион,info@metall-region.ru,https://metall-region.ru/,ok,,100,,,высокая,
43,ООО МЕТЭК Краснодар,info@meteksaratov.ru,https://метэк.рф/,требует проверки,домен почты (meteksaratov.ru) не совпадает с сайтом (метэк.рф),100,,,средняя,
44,ООО НПП Химметпродукт,info@himmetproduct.ru,https://himmetproduct.ru/,ok,,100,,,высокая,
45,ООО МК Буран,sales@buranmetall.ru,https://buranmetall.ru/,требует проверки,название не бьётся с доменом (сходство 56),56,,,средняя,
46,ООО Группа металлургических компаний Металлтрубпром,info@mtpgroup.ru,http://mtpgroup.ru/,требует проверки,название не бьётся с доменом (сходство 23),23,,,средняя,
47,ВИН-СТАЛЬ,info@win-steel.ru,https://win-steel.ru/,ok,,67,,,высокая,
48,ООО Южный завод тяжелого станкостроения,info@uzts-sedin.com,https://uzts-sedin.com/,требует проверки,название не бьётся с доменом (сходство 30),30,,,средняя,
49,ООО Битван,info@bitvan.ru,https://bitvan.ru/,ok,,100,,,высокая,
50,ООО Станкопром,info@lasercut.ru,https://lasercut.ru/,требует проверки,название не бьётся с доменом (сходство 22),22,,,средняя,
51,ООО ЛитПромГарант-НН,zakaz@lpgnn.ru,https://lpgnn.ru/,требует проверки,название не бьётся с доменом (сходство 50),50,,,средняя,
52,ООО ИПК Гелар,sales@ipkgelar-m.ru,https://ipkgelar-m.ru/,ok,,94,,,высокая,
53,ООО Паркс-Инжиниринг,info@parxeng.com,https://parxeng.com/,требует проверки,название не бьётся с доменом (сходство 43),43,,,средняя,
54,ООО ТМ Механика,zakaz@tmmeh.ru,https://tmmeh.ru/,ok,,67,,,высокая,
55,ООО Ишимбайская станкостроительная группа,info@ufastanki.ru,https://ufastanki.ru/,требует проверки,название не бьётся с доменом (сходство 30),30,,,средняя,
56,Hr-formula,sales@hr-formula.ru,https://hr-formula.ru/,ok,,100,,,высокая,
57,ООО АксесГидро,info@accesshydro.ru,https://accesshydro.ru/,ok,,76,,,высокая,
58,ИП Еремченков Владимир Владимирович,zakaz@reduktor40.ru,https://reduktor40.ru/,требует проверки,название не бьётся с доменом (сходство 25),25,,,средняя,
59,ООО Сайнтифик,info@sntf.ru,https://sntf.ru/,требует проверки,название не бьётся с доменом (сходство 62),62,,,средняя,
60,CARDINAL&MARGO,sales@cardinal-hats.ru,https://cardinal-hats.ru/,ok,,72,,,высокая,
61,АО Компонент,info@component.ru,https://component.ru/,ok,,100,,,высокая,
62,ООО Технопромвент,info@tpvent.ru,https://tpvent.ru/,ok,,63,,,высокая,
63,АО Промхимгрупп,info@promhimgroup.ru,https://promhimgroup.ru/,ok,,92,,,высокая,
64,ООО ДАЛКОС,sales@dalkos.ru,https://dalkos.ru/,ok,,100,,,высокая,
65,ООО Нижегородская Промышленная Компания,info@npk-nnov.ru,https://npk-nnov.ru/,требует проверки,название не бьётся с доменом (сходство 22),22,,,средняя,
66,Группа компаний ПНЕВМОТЕХ,zakaz@kompr.ru,https://kompr.ru/,требует проверки,название не бьётся с доменом (сходство 29),29,,,средняя,
67,ООО Вектор-Баттери,info@vektor-plus.pro,https://vektor-plus.pro/,требует проверки,название не бьётся с доменом (сходство 60),60,,,средняя,
68,ООО Капитал Металл,sales@capmetal.ru,https://capmetal.ru/,ok,,76,,,высокая,
69,ООО БВБ-Альянс,info@bvb-alyans.ru,https://bvb-alyans.ru/,ok,,100,,,высокая,
70,ООО Евразийская металлургическая компания,zakaz@eamtk.ru,https://www.eamtk.ru/,требует проверки,название не бьётся с доменом (сходство 23),23,,,средняя,
71,ООО Металлпартнер,metallpartneranastasia@yandex.ru,https://metalrostov.ru/,требует проверки,бесплатный ящик при заявленном корпоративном сайте; домен почты (yandex.ru) не совпадает с сайтом (metalrostov.ru); название не бьётся с доменом (сходство 58),58,,,средняя,
72,Металлгорсталь,info@metalgorstal.ru,https://metalgorstal.ru/,ok,,96,,,высокая,
73,ООО Континенталь,info@kontinental.ru,https://kontinental.ru/,ok,,100,,,высокая,
74,ООО ТМК ЮГ,tmk-ug@yandex.ru,https://tmk-ug.ru/,требует проверки,бесплатный ящик при заявленном корпоративном сайте; домен почты (yandex.ru) не совпадает с сайтом (tmk-ug.ru),91,,,средняя,
75,ООО Первая Металлургическая Корпорация,info@pmkor.ru,https://pmkor.ru/,требует проверки,название не бьётся с доменом (сходство 25),25,,,средняя,
76,ООО ВСМ,info@vsm-metall.ru,https://vsm-metall.ru/,требует проверки,название не бьётся с доменом (сходство 50),50,,,средняя,
77,ООО ГК Опора,info@opora55.ru,https://opora55.ru/,ok,,83,,,высокая,
78,ООО Моссталь,info@mossteel.com,https://mossteel.com/,ok,,80,,,высокая,
79,ООО Инокспоинт Групп,info@inoxpoint.ru,https://www.inoxpoint.ru/,ok,,67,,,высокая,
80,ООО ТД УралМетСтрой,zakaz.ums@yandex.ru,https://umschel.ru/,требует проверки,бесплатный ящик при заявленном корпоративном сайте; домен почты (yandex.ru) не совпадает с сайтом (umschel.ru); название не бьётся с доменом (сходство 33),33,,,средняя,
81,ООО Эльба,info@elba-msk.ru,https://elba-msk.ru/,ok,,73,,,высокая,
82,ООО Торговый Дом Металл-М,info@oootdmm.ru,https://metall-m.pro/,требует проверки,домен почты (oootdmm.ru) не совпадает с сайтом (metall-m.pro),86,,,средняя,
83,ООО Союзпромснаб,souzsnab116@yandex.ru,https://s-promsnab.ru/,требует проверки,бесплатный ящик при заявленном корпоративном сайте; домен почты (yandex.ru) не совпадает с сайтом (s-promsnab.ru),82,,,средняя,
84,ООО Стальные Решения,info@tigk.ru,https://tulampz.ru/,требует проверки,домен почты (tigk.ru) не совпадает с сайтом (tulampz.ru); название не бьётся с доменом (сходство 26),26,,,средняя,
85,ООО АБТ-ГРУПП,info@abt-group.su,https://abt-group.su/,ok,,88,,,высокая,
86,ВК Металлоснаб,order@vkmet.ru,https://vkmet.ru/,требует проверки,название не бьётся с доменом (сходство 56),56,,,средняя,
87,ООО Трубные Технологии,info@tk-rapid.ru,https://www.tk-rapid.ru/,требует проверки,название не бьётся с доменом (сходство 25),25,,,средняя,
88,ООО ЧПУ Технологии,info@cnctechnology.ru,https://cnctechnology.ru/,ok,,72,,,высокая,
89,ООО Рекламное Агентство Граффити-Медиа,info@grafmedia.ru,https://grafmedia.ru/,требует проверки,название не бьётся с доменом (сходство 56),56,,,средняя,
90,ООО НПФ Кавиант,info@kaviant.ru,https://kaviant.ru/,ok,,100,,,высокая,
91,ООО НТ-Холдинг,office@nt-tools.ru,https://nt-tools.ru/,требует проверки,название не бьётся с доменом (сходство 50),50,,,средняя,
92,ООО Гефест,sales@gefest-engineering.ru,https://gefest-engineering.ru/,требует проверки,название не бьётся с доменом (сходство 52),52,,,средняя,
93,Сайн сервис,info@sign-service.ru,https://sign-service.ru/,ok,,76,,,высокая,
94,ООО ЭлитПромРесурс,elitpromresurs@gmail.com,https://elitpromresurs.ru/,требует проверки,бесплатный ящик при заявленном корпоративном сайте; домен почты (gmail.com) не совпадает с сайтом (elitpromresurs.ru),100,,,средняя,
95,HuntX,info.huntx@gmail.com,https://huntx.ru/,требует проверки,бесплатный ящик при заявленном корпоративном сайте; домен почты (gmail.com) не совпадает с сайтом (huntx.ru),100,,,средняя,
96,ООО Солярис,zakaz@solt74.ru,https://solt74.ru/,требует проверки,название не бьётся с доменом (сходство 43),43,,,средняя,
97,Светсервис,mail@svetservis.ru,https://svetservis.ru/,ok,,100,,,высокая,
98,ООО М-Инструмент,sales@m-inst.ru,https://m-inst.ru/,ok,,62,,,высокая,
99,ООО ПРОМОЙЛ,office@promoil.com,https://promoil.com/,ok,,100,,,высокая,
100,ООО Ковачъ,info@kovach.pro,https://ковачъ.рф/,требует проверки,домен почты (kovach.pro) не совпадает с сайтом (ковачъ.рф),100,,,средняя,
101,Комтелэнерго,sales.msk@install-ltd.com,https://install-ltd.ru/,требует проверки,домен почты (install-ltd.com) не совпадает с сайтом (install-ltd.ru); название не бьётся с доменом (сходство 18),18,,,средняя,
102,ООО АРТДЕНТ,info@admdental.ru,https://www.admdental.ru/,ok,,62,,,высокая,
103,LIDER-3D,info@lider-3d.ru,https://lider-3d.ru/,ok,,100,,,высокая,
104,cutterShop.,zakaz@cutter-shop.ru,https://cutter-shop.ru/,ok,,100,,,высокая,
105,VOS-Мебель,info@vos-mebel.ru,https://vosmebel.ru/,требует проверки,домен почты (vos-mebel.ru) не совпадает с сайтом (vosmebel.ru),100,,,средняя,
106,ООО Транссвязь,info@midland-rus.ru,https://www.midland-rus.ru/,требует проверки,название не бьётся с доменом (сходство 30),30,,,средняя,
107,ООО Рось,info@mebel-ros.ru,https://mebel-ros.ru/,требует проверки,название не бьётся с доменом (сходство 55),55,,,средняя,
108,TECHNO GROUP,info@techno-tg.ru,https://stanki.techno-tg.ru/,требует проверки,домен почты (techno-tg.ru) не совпадает с сайтом (stanki.techno-tg.ru); название не бьётся с доменом (сходство 36),36,,,средняя,
109,ООО РАЗМЕР,info@razmergroup.ru,https://razmergroup.ru/,ok,,71,,,высокая,
110,ООО А Сталь,info@asteel.pro,https://asteel.pro/,ok,,73,,,высокая,
111,ООО Эммарк,solidcam@inbox.ru,https://solidcamrus.ru/,требует проверки,бесплатный ящик при заявленном корпоративном сайте; домен почты (inbox.ru) не совпадает с сайтом (solidcamrus.ru); название не бьётся с доменом (сходство 30),30,,,средняя,
112,ООО Специнструмент-НН,info@reezo.ru,https://reezo.ru/,требует проверки,название не бьётся с доменом (сходство 19),19,,,средняя,
113,PROLab,info@prolab.team,https://prolab.team/,ok,,100,,,высокая,
114,ООО Тепловые Системы,info@tepsys.ru,https://tepsys.ru/,требует проверки,название не бьётся с доменом (сходство 57),57,,,средняя,
115,ООО ПК Анеко,sales@aneko.ru,https://aneko.ru/,ok,,100,,,высокая,
116,ООО СНД,info@cnd-all.ru,https://vsestanki.tech/,требует проверки,домен почты (cnd-all.ru) не совпадает с сайтом (vsestanki.tech); название не бьётся с доменом (сходство 33),33,,,средняя,
117,SAVINSNAME,help@savinsname.ru,https://savinsname.ru/,ok,,100,,,высокая,
118,DiAR-Engineering (ООО Медикал-Сервис),sales@diar-engineering.ru,https://diar-engineering.ru/,ok,,100,,,высокая,
119,ВИЛЛМЕД,zakaz@willmed.ru,https://willmed.ru/,ok,,86,,,высокая,
